Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
46,140610502421504,true,1788547933.418571,2,19814,35.27,-116.64,15000.00,0.00,-10.22,26.66,0.0,0.0,0.0,0.0,0.0,0.0
47,140610502421504,true,1788547933.435384,2,19814,35.27,-116.64,15000.00,0.00,-10.22,26.66,0.0,0.0,0.0,0.0,0.0,0.0
47,140610502421504,false,1788547933.436,2,19816,-892.62,-59.77,-28.81,-26.63,-5.14,8.85,0.00,0.00,0.00,180.00,180.00,180.00
48,140610502421504,true,1788547933.451924,2,19816,35.27,-116.64,15000.00,0.00,-10.21,26.63,0.0,0.0,0.0,0.0,0.0,0.0
49,140610502421504,true,1788547933.468600,2,19816,35.27,-116.64,15000.00,0.00,-10.21,26.63,0.0,0.0,0.0,0.0,0.0,0.0
49,140610502421504,false,1788547933.470,2,19817,-892.98,-59.76,-28.90,-26.61,-5.13,8.87,0.00,0.00,0.00,180.00,180.00,180.00
50,140610502421504,true,1788547933.485286,2,19817,35.27,-116.64,15000.00,0.00,-10.23,26.61,0.0,0.0,0.0,0.0,0.0,0.0
50,140610502421504,false,1788547933.486,2,19818,-893.24,-59.74,-29.06,-26.62,-5.14,8.89,0.00,0.00,0.00,180.00,180.00,180.00
51,140610502421504,true,1788547933.501985,2,19818,35.27,-116.64,15000.00,0.00,-10.25,26.62,0.0,0.0,0.0,0.0,0.0,0.0
51,140610502421504,false,1788547933.503,2,19818,-893.24,-59.81,-29.07,-26.61,-5.14,8.90,0.00,0.00,0.00,180.00,180.00,180.00
52,140610502421504,true,1788547933.518607,2,19818,35.27,-116.64,15000.00,0.00,-10.26,26.61,0.0,0.0,0.0,0.0,0.0,0.0
52,140610502421504,false,1788547933.520,2,19820,-893.40,-59.86,-29.22,-26.62,-5.15,8.91,0.00,0.00,0.00,180.00,180.00,180.00
53,140610502421504,true,1788547933.535267,2,19820,35.27,-116.64,15000.00,0.00,-10.27,26.62,0.0,0.0,0.0,0.0,0.0,0.0
53,140610502421504,false,1788547933.536,2,19820,-893.33,-59.91,-29.21,-26.63,-5.15,8.92,0.00,0.00,0.00,180.00,180.00,180.00
