Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
55,140379497298944,false,1788553197.031,2,12191,-1264.56,-79.29,-314.89,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
56,140379497298944,true,1788553197.047225,2,12191,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
56,140379497298944,false,1788553197.048,2,12193,-1264.47,-79.26,-314.83,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
57,140379497298944,true,1788553197.063926,2,12193,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
57,140379497298944,false,1788553197.065,2,12193,-1264.43,-79.25,-314.82,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
58,140379497298944,true,1788553197.080351,2,12193,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
58,140379497298944,false,1788553197.081,2,12195,-1264.43,-79.20,-314.74,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
59,140379497298944,true,1788553197.097187,2,12195,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
59,140379497298944,false,1788553197.098,2,12195,-1264.39,-79.21,-314.72,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
60,140379497298944,true,1788553197.113650,2,12195,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
60,140379497298944,false,1788553197.115,2,12197,-1264.27,-79.21,-314.65,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
61,140379497298944,true,1788553197.130543,2,12197,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
61,140379497298944,false,1788553197.131,2,12197,-1264.28,-79.25,-314.67,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
62,140379497298944,true,1788553197.147085,2,12197,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
62,140379497298944,false,1788553197.148,2,12199,-1264.28,-79.20,-314.66,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
63,140379497298944,true,1788553197.163765,2,12199,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
63,140379497298944,false,1788553197.165,2,12199,-1264.27,-79.23,-314.65,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
64,140379497298944,true,1788553197.180316,2,12199,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
64,140379497298944,false,1788553197.181,2,12201,-1264.21,-79.15,-314.59,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
65,140379497298944,true,1788553197.197062,2,12201,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
65,140379497298944,false,1788553197.198,2,12201,-1264.19,-79.16,-314.59,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
66,140379497298944,true,1788553197.213647,2,12201,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
66,140379497298944,false,1788553197.215,2,12203,-1264.18,-79.22,-314.61,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
67,140379497298944,true,1788553197.230401,2,12203,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
67,140379497298944,false,1788553197.231,2,12203,-1264.14,-79.22,-314.59,-11.86,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
68,140379497298944,true,1788553197.247041,2,12203,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
68,140379497298944,false,1788553197.248,2,12205,-1264.14,-79.10,-314.55,-11.86,1.00,3.06,0.00,0.00,0.00,180.00,180.00,180.00
69,140379497298944,true,1788553197.263742,2,12205,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
69,140379497298944,false,1788553197.265,2,12205,-1264.16,-79.11,-314.54,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
70,140379497298944,true,1788553197.280324,2,12205,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
70,140379497298944,false,1788553197.281,2,12207,-1264.21,-79.06,-314.55,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
71,140379497298944,true,1788553197.297176,2,12207,35.27,-116.64,15000.00,0.00,-2.79,11.85,0.0,0.0,0.0,0.0,0.0,0.0
71,140379497298944,false,1788553197.298,2,12207,-1264.19,-79.07,-314.56,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
72,140379497298944,true,1788553197.313740,2,12207,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
72,140379497298944,false,1788553197.315,2,12209,-1264.24,-79.08,-314.60,-11.85,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
73,140379497298944,true,1788553197.330394,2,12209,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
73,140379497298944,false,1788553197.331,2,12209,-1264.22,-79.07,-314.59,-11.85,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
74,140379497298944,true,1788553197.347030,2,12209,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
74,140379497298944,false,1788553197.348,2,12211,-1264.20,-79.05,-314.60,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
75,140379497298944,true,1788553197.363996,2,12211,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
75,140379497298944,false,1788553197.365,2,12211,-1264.19,-79.05,-314.61,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
76,140379497298944,true,1788553197.380335,2,12211,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
76,140379497298944,false,1788553197.381,2,12213,-1264.29,-79.06,-314.60,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
77,140379497298944,true,1788553197.397221,2,12213,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
77,140379497298944,false,1788553197.398,2,12213,-1264.28,-79.07,-314.60,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
78,140379497298944,true,1788553197.413708,2,12213,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
78,140379497298944,false,1788553197.415,2,12214,-1264.34,-79.04,-314.63,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
79,140379497298944,true,1788553197.430404,2,12214,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
79,140379497298944,false,1788553197.431,2,12215,-1264.32,-79.00,-314.63,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
80,140379497298944,true,1788553197.447191,2,12215,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
80,140379497298944,false,1788553197.448,2,12217,-1264.34,-78.98,-314.66,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
81,140379497298944,true,1788553197.463902,2,12217,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
81,140379497298944,false,1788553197.465,2,12217,-1264.37,-79.00,-314.65,-11.85,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
82,140379497298944,true,1788553197.480326,2,12217,35.27,-116.64,15000.00,0.00,-2.81,11.85,0.0,0.0,0.0,0.0,0.0,0.0
82,140379497298944,false,1788553197.481,2,12219,-1264.42,-78.95,-314.69,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
83,140379497298944,true,1788553197.497030,2,12219,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
83,140379497298944,false,1788553197.498,2,12219,-1264.44,-78.94,-314.69,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
84,140379497298944,true,1788553197.513740,2,12219,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
84,140379497298944,false,1788553197.515,2,12221,-1264.45,-78.96,-314.69,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
85,140379497298944,true,1788553197.530599,2,12221,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
85,140379497298944,false,1788553197.532,2,12221,-1264.45,-78.99,-314.70,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
86,140379497298944,true,1788553197.547079,2,12221,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
86,140379497298944,false,1788553197.548,2,12223,-1264.43,-78.90,-314.69,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
87,140379497298944,true,1788553197.563796,2,12223,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
87,140379497298944,false,1788553197.565,2,12223,-1264.43,-78.90,-314.69,-11.86,1.00,3.08,0.00,0.00,0.00,180.00,180.00,180.00
88,140379497298944,true,1788553197.580412,2,12223,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
88,140379497298944,false,1788553197.581,2,12225,-1264.41,-78.78,-314.66,-11.86,1.01,3.07,0.00,0.00,0.00,180.00,180.00,180.00
89,140379497298944,true,1788553197.597057,2,12225,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
